strain	seq_tech	virus	Genotype	accession	date	region	country	province	city
hChikV/India/un-JHU-f52fa7d7/2015|EPI_ISL_17458778	Sanger	hChikV	II-ECSA	EPI_ISL_17458778	2015-12-03	Asia	India	unknown	unknown
hChikV/India/un-JHU-937a2f09/2014|EPI_ISL_17458785	Sanger	hChikV	II-ECSA	EPI_ISL_17458785	2014-07-23	Asia	India	unknown	unknown
hChikV/India/un-JHU-6154f8c7/2015|EPI_ISL_17458787	Sanger	hChikV	II-ECSA	EPI_ISL_17458787	2015-09-11	Asia	India	unknown	unknown
hChikV/Malaysia/MUM-MUM001/2009|EPI_ISL_17458804	unknown	hChikV	III-Asian	EPI_ISL_17458804	2009-07-01	Asia	Malaysia	Selangor	unknown
hChikV/Kenya/KEMRI-3260ce85/2017|EPI_ISL_17458809	Oxford Nanopore MinION	hChikV	II-ECSA	EPI_ISL_17458809	2017-04-03	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-116a47e5/2017|EPI_ISL_17458819	Oxford Nanopore MinION	hChikV	II-ECSA	EPI_ISL_17458819	2017-12-05	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-7b2361e6/2015|EPI_ISL_17458824	Oxford Nanopore MinION	hChikV	II-ECSA	EPI_ISL_17458824	2015-09-02	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-f886d5b8/2017|EPI_ISL_17458825	Oxford Nanopore MinION	hChikV	II-ECSA	EPI_ISL_17458825	2017-12-13	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-a51bc89a/2016|EPI_ISL_17458826	Oxford Nanopore MinION	hChikV	II-ECSA	EPI_ISL_17458826	2016-01-26	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-94f11be3/2014|EPI_ISL_17458827	Oxford Nanopore MinION	hChikV	II-ECSA	EPI_ISL_17458827	2014-05-23	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-a7692f06/2014|EPI_ISL_17458831	Oxford Nanopore MinIon	hChikV	II-ECSA	EPI_ISL_17458831	2014-08-20	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-cf70954c/2018|EPI_ISL_17458835	Oxford Nanopore MinIon	hChikV	II-ECSA	EPI_ISL_17458835	2018-01-03	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-13fa5f73/2018|EPI_ISL_17458836	Oxford Nanopore MinIon	hChikV	II-ECSA	EPI_ISL_17458836	2018-01-12	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-f9c2268d/2017|EPI_ISL_17458838	Oxford Nanopore MinIon	hChikV	II-ECSA	EPI_ISL_17458838	2017-07-19	Africa	Kenya	Kilifi	unknown
hChikV/Kenya/KEMRI-d8a71e35/2017|EPI_ISL_17458840	Illumina	hChikV	II-ECSA	EPI_ISL_17458840	2017-12-15	Africa	Kenya	Mombasa	unknown
hChikV/China/YN-KUST-81d86fd4/2019|EPI_ISL_17458877	Sanger	hChikV	II-ECSA	EPI_ISL_17458877	2019-05-07	Asia	China	Yunnan	unknown
hChikV/China/YN-KUST-685f0463/2019|EPI_ISL_17458878	Sanger	hChikV	II-ECSA	EPI_ISL_17458878	2019-06-28	Asia	China	Yunnan	unknown
hChikV/Myanmar/KUST-53668549/2019|EPI_ISL_17458879	Sanger	hChikV	II-ECSA	EPI_ISL_17458879	2019-08-01	Asia	Myanmar	unknown	unknown
hChikV/China/YN-KUST-c8419b4f/2019|EPI_ISL_17458880	Sanger	hChikV	II-ECSA	EPI_ISL_17458880	2019-08-02	Asia	China	Yunnan	unknown
hChikV/China/YN-KUST-769b0dfb/2019|EPI_ISL_17458881	Sanger	hChikV	II-ECSA	EPI_ISL_17458881	2019-05-08	Asia	China	Yunnan	unknown
hChikV/China/YN-KUST-ad2604be/2019|EPI_ISL_17458882	Sanger	hChikV	II-ECSA	EPI_ISL_17458882	2019-07-25	Asia	China	Yunnan	unknown
hChikV/China/YN-KUST-d554fdfb/2019|EPI_ISL_17458883	Sanger	hChikV	II-ECSA	EPI_ISL_17458883	2019-07-26	Asia	China	Yunnan	unknown
hChikV/Myanmar/KUST-97db7249/2019|EPI_ISL_17458884	Sanger	hChikV	II-ECSA	EPI_ISL_17458884	2019-08-01	Asia	Myanmar	unknown	unknown
hChikV/China/YN-KUST-f2b63fbb/2019|EPI_ISL_17458885	Sanger	hChikV	II-ECSA	EPI_ISL_17458885	2019-07-30	Asia	China	Yunnan	unknown
hChikV/China/YN-KUST-3b1ed1b9/2019|EPI_ISL_17458886	Sanger	hChikV	II-ECSA	EPI_ISL_17458886	2019-07-02	Asia	China	Yunnan	unknown
hChikV/Brazil/un-UFMT-af426c4b/2018|EPI_ISL_17458914	Illumina	hChikV	II-ECSA	EPI_ISL_17458914	2018-05-30	South America	Brazil	unknown	unknown
hChikV/Brazil/un-UFMT-60adbb16/2018|EPI_ISL_17458915	Illumina	hChikV	II-ECSA	EPI_ISL_17458915	2018-12-31	South America	Brazil	unknown	unknown
hChikV/Brazil/un-UFMT-578b7ad1/2018|EPI_ISL_17458916	Illumina	hChikV	II-ECSA	EPI_ISL_17458916	2018-03-31	South America	Brazil	unknown	unknown
hChikV/Brazil/un-UFMT-dbb2b6a9/2018|EPI_ISL_17458917	Illumina	hChikV	II-ECSA	EPI_ISL_17458917	2018-12-31	South America	Brazil	unknown	unknown
hChikV/Brazil/un-UFMT-dc18c4d0/2018|EPI_ISL_17458918	Illumina	hChikV	II-ECSA	EPI_ISL_17458918	2018-02-28	South America	Brazil	unknown	unknown
hChikV/Brazil/un-UFMT-c52ef6f1/2018|EPI_ISL_17458919	Illumina	hChikV	II-ECSA	EPI_ISL_17458919	2018-02-28	South America	Brazil	unknown	unknown
hChikV/Indonesia/un-LUMC-320102eb/2010|EPI_ISL_17458921	Sanger	hChikV	II-ECSA	EPI_ISL_17458921	2010-07-01	Asia	Indonesia	unknown	unknown
hChikV/Indonesia/BA-LSHTM-ce5fc2f0/2016|EPI_ISL_17458929	Nanopore	hChikV	III-Asian	EPI_ISL_17458929	2016-01-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/MA-LSHTM-09b9e32e/2018|EPI_ISL_17458930	Nanopore	hChikV	III-Asian	EPI_ISL_17458930	2018-07-15	Asia	Indonesia	Maluku	unknown
hChikV/Indonesia/JA-LSHTM-ed507c92/2015|EPI_ISL_17458931	Nanopore	hChikV	III-Asian	EPI_ISL_17458931	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/JA-LSHTM-30a2984d/2015|EPI_ISL_17458932	Nanopore	hChikV	III-Asian	EPI_ISL_17458932	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/BA-LSHTM-9c07f1dd/2018|EPI_ISL_17458933	Nanopore	hChikV	III-Asian	EPI_ISL_17458933	2018-03-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/BA-LSHTM-a6f26a69/2017|EPI_ISL_17458934	Nanopore	hChikV	III-Asian	EPI_ISL_17458934	2017-01-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/JA-LSHTM-5a7c925c/2015|EPI_ISL_17458935	Nanopore	hChikV	III-Asian	EPI_ISL_17458935	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/BA-LSHTM-2925583a/2016|EPI_ISL_17458936	Nanopore	hChikV	III-Asian	EPI_ISL_17458936	2016-01-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/BA-LSHTM-17070e67/2017|EPI_ISL_17458937	Nanopore	hChikV	III-Asian	EPI_ISL_17458937	2017-02-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/BA-LSHTM-fa76625d/2016|EPI_ISL_17458938	Nanopore	hChikV	III-Asian	EPI_ISL_17458938	2016-01-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/JA-LSHTM-0ce27b54/2015|EPI_ISL_17458939	Nanopore	hChikV	III-Asian	EPI_ISL_17458939	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/JA-LSHTM-a4c4ee86/2015|EPI_ISL_17458940	Nanopore	hChikV	III-Asian	EPI_ISL_17458940	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/JA-LSHTM-423e5794/2015|EPI_ISL_17458941	Nanopore	hChikV	III-Asian	EPI_ISL_17458941	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/un-LSHTM-871cf14c/2015|EPI_ISL_17458942	Nanopore	hChikV	III-Asian	EPI_ISL_17458942	2015-02-15	Asia	Indonesia	unknown	unknown
hChikV/Indonesia/JA-LSHTM-e33c87a6/2015|EPI_ISL_17458943	Nanopore	hChikV	III-Asian	EPI_ISL_17458943	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/BA-LSHTM-691008c1/2016|EPI_ISL_17458944	Nanopore	hChikV	III-Asian	EPI_ISL_17458944	2016-01-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/JA-LSHTM-5275bf88/2015|EPI_ISL_17458945	Nanopore	hChikV	III-Asian	EPI_ISL_17458945	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/un-LSHTM-160232a9/2014|EPI_ISL_17458946	Nanopore	hChikV	III-Asian	EPI_ISL_17458946	2014-12-15	Asia	Indonesia	unknown	unknown
hChikV/Indonesia/un-LSHTM-2cbedd8a/2015|EPI_ISL_17458947	Nanopore	hChikV	III-Asian	EPI_ISL_17458947	2015-02-15	Asia	Indonesia	unknown	unknown
hChikV/Indonesia/JA-LSHTM-b1f3643d/2015|EPI_ISL_17458948	Nanopore	hChikV	III-Asian	EPI_ISL_17458948	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/JA-LSHTM-e98a9cec/2015|EPI_ISL_17458949	Nanopore	hChikV	III-Asian	EPI_ISL_17458949	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/JA-LSHTM-d444f1b8/2015|EPI_ISL_17458950	Nanopore	hChikV	III-Asian	EPI_ISL_17458950	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/BA-LSHTM-8318b164/2018|EPI_ISL_17458951	Nanopore	hChikV	III-Asian	EPI_ISL_17458951	2018-05-15	Asia	Indonesia	Bali	unknown
hChikV/Indonesia/JA-LSHTM-22055c07/2015|EPI_ISL_17458952	Nanopore	hChikV	III-Asian	EPI_ISL_17458952	2015-12-15	Asia	Indonesia	Jambi	unknown
hChikV/Indonesia/BA-LSHTM-e65b3370/2017|EPI_ISL_17458953	Nanopore	hChikV	III-Asian	EPI_ISL_17458953	2017-03-15	Asia	Indonesia	Bali	unknown
hChikV/Thailand/MU-11615ea7/2019|EPI_ISL_17459097	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459097	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-4b284e3d/2017|EPI_ISL_17459098	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459098	2017-09-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-f19fd3e5/2017|EPI_ISL_17459099	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459099	2017-08-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-e76932f5/2017|EPI_ISL_17459100	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459100	2017-09-15	Asia	Bangladesh	unknown	unknown
hChikV/Aruba/MU-b761229c/2015|EPI_ISL_17459101	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459101	2015-01-15	North America	Aruba	unknown	unknown
hChikV/Aruba/MU-8d2579c1/2015|EPI_ISL_17459102	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459102	2015-01-15	North America	Aruba	unknown	unknown
hChikV/Aruba/MU-719ea199/2015|EPI_ISL_17459103	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459103	2015-02-15	North America	Aruba	unknown	unknown
hChikV/Bangladesh/MU-1a073f26/2017|EPI_ISL_17459104	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459104	2017-11-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-81f60556/2017|EPI_ISL_17459106	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459106	2017-07-15	Asia	Bangladesh	unknown	unknown
hChikV/Aruba/MU-1ba073e6/2015|EPI_ISL_17459112	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459112	2015-01-15	North America	Aruba	unknown	unknown
hChikV/Bangladesh/MU-fe5164cd/2017|EPI_ISL_17459114	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459114	2017-11-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-a52ca68c/2017|EPI_ISL_17459115	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459115	2017-07-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-66917b04/2019|EPI_ISL_17459116	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459116	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-af3eb180/2017|EPI_ISL_17459117	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459117	2017-09-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-09bf7408/2017|EPI_ISL_17459118	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459118	2017-09-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-f423af0a/2019|EPI_ISL_17459119	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459119	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-cd95bccf/2017|EPI_ISL_17459120	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459120	2017-10-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-5b0fce1b/2017|EPI_ISL_17459122	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459122	2017-10-15	Asia	Bangladesh	unknown	unknown
hChikV/Aruba/MU-3ea58ffb/2015|EPI_ISL_17459126	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459126	2015-01-15	North America	Aruba	unknown	unknown
hChikV/Aruba/MU-d45b13a6/2015|EPI_ISL_17459127	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459127	2015-01-15	North America	Aruba	unknown	unknown
hChikV/Aruba/MU-adff790c/2015|EPI_ISL_17459128	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459128	2015-03-15	North America	Aruba	unknown	unknown
hChikV/Bangladesh/MU-03100bda/2017|EPI_ISL_17459129	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459129	2017-09-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-a1de2ea4/2019|EPI_ISL_17459136	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459136	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Thailand/MU-888ea7fb/2019|EPI_ISL_17459137	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459137	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Thailand/MU-57d83f9c/2019|EPI_ISL_17459138	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459138	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Thailand/MU-152cdc35/2019|EPI_ISL_17459139	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459139	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-50604208/2017|EPI_ISL_17459141	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459141	2017-10-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-7c827199/2019|EPI_ISL_17459143	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459143	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Thailand/MU-4719e3fa/2019|EPI_ISL_17459144	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459144	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-baebeb6e/2017|EPI_ISL_17459145	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459145	2017-10-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-b8fd7bc8/2019|EPI_ISL_17459146	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459146	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-8e6e8cf8/2017|EPI_ISL_17459160	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459160	2017-10-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-2262739c/2017|EPI_ISL_17459161	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459161	2017-09-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-17dfa84c/2017|EPI_ISL_17459162	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459162	2017-07-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-4011f874/2019|EPI_ISL_17459163	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459163	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-17e5a95a/2017|EPI_ISL_17459164	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459164	2017-07-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-149b0b2f/2010|EPI_ISL_17459165	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459165	2010-07-01	Asia	Thailand	unknown	unknown
hChikV/Thailand/MU-6fc66bea/2019|EPI_ISL_17459167	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459167	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Bangladesh/MU-2a63ecfc/2017|EPI_ISL_17459168	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459168	2017-12-15	Asia	Bangladesh	unknown	unknown
hChikV/Bangladesh/MU-52a613ff/2017|EPI_ISL_17459170	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459170	2017-09-15	Asia	Bangladesh	unknown	unknown
hChikV/Thailand/MU-98007598/2019|EPI_ISL_17459175	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459175	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Thailand/MU-240a30a9/2019|EPI_ISL_17459177	Illumina MiSeq	hChikV	II-ECSA	EPI_ISL_17459177	2019-10-15	Asia	Thailand	Bangkok	unknown
hChikV/Aruba/MU-6fa3c77b/2015|EPI_ISL_17459182	CLC Genomics workbench ver. 9.5.3	hChikV	III-Asian	EPI_ISL_17459182	2015-01-15	North America	Aruba	unknown	unknown
hChikV/Congo/MIVEGEC-RC_Diosso/2019|EPI_ISL_17459183	Sanger	hChikV	II-ECSA	EPI_ISL_17459183	2019-07-01	Africa	Republic of the Congo	unknown	unknown
hChikV/Brazil/PE-MIT-b109feb4/2016|EPI_ISL_17459187	Illumina	hChikV	II-ECSA	EPI_ISL_17459187	2016-03-03	South America	Brazil	Pernambuco	unknown
hChikV/India/un-RGCB-c4161828/2008|EPI_ISL_17459232	unknown	hChikV	II-ECSA	EPI_ISL_17459232	2008-05-29	Asia	India	unknown	unknown
hChikV/India/un-RGCB-ddee20ed/2006|EPI_ISL_17459235	unknown	hChikV	II-ECSA	EPI_ISL_17459235	2006-10-07	Asia	India	unknown	unknown
hChikV/India/un-RGCB-100316b5/2006|EPI_ISL_17459236	unknown	hChikV	II-ECSA	EPI_ISL_17459236	2006-10-07	Asia	India	unknown	unknown
hChikV/India/un-RGCB-f7642ef8/2007|EPI_ISL_17459242	unknown	hChikV	II-ECSA	EPI_ISL_17459242	2007-07-12	Asia	India	unknown	unknown
hChikV/India/un-RGCB-cd9c38a1/2007|EPI_ISL_17459253	unknown	hChikV	II-ECSA	EPI_ISL_17459253	2007-07-13	Asia	India	unknown	unknown
hChikV/India/KL-RGCB-52de7e20/2010|EPI_ISL_17459256	Sanger	hChikV	II-ECSA	EPI_ISL_17459256	2010-07-16	Asia	India	Kerala	unknown
hChikV/India/KL-RGCB-5052b7d1/2013|EPI_ISL_17459257	Sanger	hChikV	II-ECSA	EPI_ISL_17459257	2013-05-27	Asia	India	Kerala	unknown
hChikV/India/KL-RGCB-dad3506d/2013|EPI_ISL_17459258	Sanger	hChikV	II-ECSA	EPI_ISL_17459258	2013-03-06	Asia	India	Kerala	unknown
hChikV/India/KL-RGCB-79c0386f/2009|EPI_ISL_17459260	Sanger	hChikV	II-ECSA	EPI_ISL_17459260	2009-04-08	Asia	India	Kerala	unknown
hChikV/India/KL-RGCB-d9bea5e2/2012|EPI_ISL_17459261	Sanger	hChikV	II-ECSA	EPI_ISL_17459261	2012-08-03	Asia	India	Kerala	unknown
hChikV/India/KL-RGCB-d8aced4b/2012|EPI_ISL_17459262	Sanger	hChikV	II-ECSA	EPI_ISL_17459262	2012-08-03	Asia	India	Kerala	unknown
hChikV/India/un-RGCB-1a899b01/2008|EPI_ISL_17459265	unknown	hChikV	II-ECSA	EPI_ISL_17459265	2008-06-29	Asia	India	unknown	unknown
hChikV/Myanmar/NEKKEN-36ba61a2/2010|EPI_ISL_17459266	Sanger	hChikV	II-ECSA	EPI_ISL_17459266	2010-07-01	Asia	Myanmar	unknown	unknown
hChikV/Myanmar/NEKKEN-4a75cee4/2010|EPI_ISL_17459267	Sanger	hChikV	II-ECSA	EPI_ISL_17459267	2010-07-01	Asia	Myanmar	unknown	unknown
hChikV/Myanmar/NEKKEN-0b166d77/2010|EPI_ISL_17459268	Sanger	hChikV	II-ECSA	EPI_ISL_17459268	2010-07-01	Asia	Myanmar	unknown	unknown
hChikV/Myanmar/NEKKEN-e2989acd/2010|EPI_ISL_17459269	Sanger	hChikV	II-ECSA	EPI_ISL_17459269	2010-07-01	Asia	Myanmar	unknown	unknown
hChikV/Sri Lanka/EHI-3408/2008|EPI_ISL_17459735	unknown	hChikV	II-ECSA	EPI_ISL_17459735	2008-03-15	Asia	Sri Lanka	unknown	unknown
hChikV/Sri Lanka/EHI-19708/2008|EPI_ISL_17459736	unknown	hChikV	II-ECSA	EPI_ISL_17459736	2008-04-15	Asia	Sri Lanka	unknown	unknown
hChikV/Sri Lanka/EHI-6008/2008|EPI_ISL_17459739	unknown	hChikV	II-ECSA	EPI_ISL_17459739	2008-03-15	Asia	Sri Lanka	unknown	unknown
hChikV/Cambodia/NIAID-7b18131d/2021|EPI_ISL_17459743	Illumina	hChikV	II-ECSA	EPI_ISL_17459743	2021-02-12	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-3e831e8d/2020|EPI_ISL_17459744	Illumina	hChikV	II-ECSA	EPI_ISL_17459744	2020-07-01	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-3301091e/2020|EPI_ISL_17459745	Illumina	hChikV	II-ECSA	EPI_ISL_17459745	2020-10-14	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-3df487d0/2020|EPI_ISL_17459746	Illumina	hChikV	II-ECSA	EPI_ISL_17459746	2020-12-24	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-128d25fa/2020|EPI_ISL_17459747	Illumina	hChikV	II-ECSA	EPI_ISL_17459747	2020-10-09	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-a5317c10/2020|EPI_ISL_17459748	Illumina	hChikV	II-ECSA	EPI_ISL_17459748	2020-10-06	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-5660be2f/2020|EPI_ISL_17459749	Illumina	hChikV	II-ECSA	EPI_ISL_17459749	2020-09-28	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-0f71681a/2020|EPI_ISL_17459750	Illumina	hChikV	II-ECSA	EPI_ISL_17459750	2020-09-22	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-0e5929fa/2020|EPI_ISL_17459751	Illumina	hChikV	II-ECSA	EPI_ISL_17459751	2020-11-16	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-b5d60810/un|EPI_ISL_17459752	Illumina	hChikV	II-ECSA	EPI_ISL_17459752	unknown	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-88131146/2020|EPI_ISL_17459753	Illumina	hChikV	II-ECSA	EPI_ISL_17459753	2020-07-15	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-9c6dc1a7/un|EPI_ISL_17459754	Illumina	hChikV	II-ECSA	EPI_ISL_17459754	unknown	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-50654918/2020|EPI_ISL_17459755	Illumina	hChikV	II-ECSA	EPI_ISL_17459755	2020-12-25	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-80bd8c6c/2021|EPI_ISL_17459756	Illumina	hChikV	II-ECSA	EPI_ISL_17459756	2021-02-24	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-e0725772/2020|EPI_ISL_17459757	Illumina	hChikV	II-ECSA	EPI_ISL_17459757	2020-07-23	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-dd3dadd8/2021|EPI_ISL_17459758	Illumina	hChikV	II-ECSA	EPI_ISL_17459758	2021-03-05	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-87c46072/2020|EPI_ISL_17459759	Illumina	hChikV	II-ECSA	EPI_ISL_17459759	2020-11-18	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-530374f7/2020|EPI_ISL_17459760	Illumina	hChikV	II-ECSA	EPI_ISL_17459760	2020-11-02	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-9c3293cc/2021|EPI_ISL_17459761	Illumina	hChikV	II-ECSA	EPI_ISL_17459761	2021-05-24	Asia	Cambodia	unknown	unknown
hChikV/Cambodia/NIAID-bc541df2/2020|EPI_ISL_17459762	Illumina	hChikV	II-ECSA	EPI_ISL_17459762	2020-12-07	Asia	Cambodia	unknown	unknown
hChikV/Dominica/NIID-NIID73/2014|EPI_ISL_17459917	Ion Torrent PGM	hChikV	III-Asian	EPI_ISL_17459917	2014-06-23	North America	Dominica	unknown	unknown
hChikV/Philippines/NIID-NIID165/2012|EPI_ISL_17459918	Ion Torrent PGM	hChikV	III-Asian	EPI_ISL_17459918	2012-09-25	Asia	Philippines	unknown	unknown
hChikV/Indonesia/un-NIID-NIID35/2015|EPI_ISL_17459919	Ion Torrent PGM	hChikV	III-Asian	EPI_ISL_17459919	2015-05-07	Asia	Indonesia	unknown	unknown
hChikV/Angola/NIID-NIID54/2016|EPI_ISL_17459920	Ion Torrent PGM	hChikV	II-ECSA	EPI_ISL_17459920	2016-05-11	Africa	Angola	unknown	unknown
hChikV/Japan/NIID-89e32fbb/2006|EPI_ISL_17459921	unknown	hChikV	II-ECSA	EPI_ISL_17459921	2006-12-15	Asia	Japan	unknown	unknown
hChikV/Japan/NIID-f44f3f12/2006|EPI_ISL_17459922	unknown	hChikV	II-ECSA	EPI_ISL_17459922	2006-12-15	Asia	Japan	unknown	unknown
hChikV/Malaysia/NIID-NIID02/2009|EPI_ISL_17459926	Ion Torrent PGM	hChikV	II-ECSA	EPI_ISL_17459926	2009-01-06	Asia	Malaysia	unknown	unknown
hChikV/Cuba/NIID-NIID25/2016|EPI_ISL_17459927	Ion Torrent PGM	hChikV	III-Asian	EPI_ISL_17459927	2016-02-28	North America	Cuba	unknown	unknown
